交易时间,开盘价,最高价,最低价,收盘价,成交量
2023-01-01,1196.13,1679.26,1190.57,1585.33,14091007.0828
2023-02-01,1585.32,1742.97,1461.93,1605.23,13176410.4841
2023-03-01,1605.24,1857.16,1368.39,1821.52,20803771.4363
2023-04-01,1821.52,2141.54,1762.77,1870.09,14307106.2608
2023-05-01,1870.08,2019.0,1740.0,1873.63,11277172.8598
2023-06-01,1873.63,1948.6,1626.01,1933.79,10385952.6378
2023-07-01,1933.8,2029.11,1826.0,1856.14,7059027.6746
2023-08-01,1856.13,1879.74,1550.0,1645.76,7456380.6685
2023-09-01,1645.77,1694.32,1531.01,1670.89,6037582.383
2023-10-01,1670.89,1865.54,1521.0,1814.67,8141249.517
2023-11-01,1814.67,2136.99,1777.11,2051.96,11382319.5486
2023-12-01,2051.95,2445.8,2045.04,2281.87,11869847.2762
